Feature,Time (seconds)
RMS,0.011992692947387700
ZCR,0.00754547119140625
Peak Value,0.00021719932556152300
STE,0.00031280517578125
Signal Energy,0.0002715587615966800
Spectral Centroid,0.023159503936767600
Spectral Rolloff,0.02354264259338380
Spectral Flatness,0.017255544662475600
Spectral Contrast,0.026812076568603500
Chroma Features,0.04664301872253420
Pitch,0.025658369064331100
HNR,0.207564115524292
Harmonic Ratio,0.4961256980896000
Spectral Flux,0.04938197135925290
Group Delay,0.04731011390686040
Wavelet Features,0.3068258762359620
Timbre,0.05515480041503910
Loudness,0.012136697769165000
Jitter,0.0012445449829101600
Shimmer,0.000457763671875
Bark Coefficients,0.0541074275970459
Mel-Spectra,0.044747352600097700
Zwicker Loudness,0.012635231018066400
Energy Balance Metric,0.04448223114013670
LH1000,0.044619083404541000
SNR,0.0012221336364746100
